how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
35-44,Nonprofits,Sexual Assault Prevention Educator,31000,0.0,Alabama,Huntsville,11 - 20 years,2 - 4 years,Master's degree
45-54,Computing or Tech,Program Manager III,136000,,Colorado,Denver Metro Area,11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Product Manager,120000,0.0,Texas,Austin,8 - 10 years,2 - 4 years,College degree
25-34,Retail,Facility lead,31200,100.0,Idaho,Moscow,8 - 10 years,2 - 4 years,College degree
35-44,Law,Public Defender,60000,0.0,Ohio,Cincinnati,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Art & Design,Senior Graphic Designer,47999,0.0,Colorado,Denver,5-7 years,5-7 years,College degree
25-34,Engineering or Manufacturing,Marketing Coordinator,45000,,South Carolina,Columbia,5-7 years,5-7 years,Some college
25-34,Recruitment or HR,Enterprise Resource Planning Analyst I,57500,,Ohio,Cincinnati,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Development Associate,48000,0.0,Michigan,Ann Arbor,5-7 years,2 - 4 years,College degree
25-34,Health care,Medical Laboratory Scientist,56000,,Vermont,Burlington,8 - 10 years,8 - 10 years,College degree
25-34,"Marketing, Advertising & PR",Content Strategist,75000,,Oregon,Portland,5-7 years,5-7 years,College degree
35-44,Health care,Local Study Manager,125000,25000.0,Missouri,Kansas City,11 - 20 years,11 - 20 years,Master's degree
45-54,Pharmaceutical,Associate Director,185000,30000.0,California,South San Francisco,21 - 30 years,21 - 30 years,PhD
35-44,Education (Higher Education),Librarian,79626,6000.0,Connecticut,New Haven,11 - 20 years,11 - 20 years,Master's degree
25-34,Media & Digital,senior data scientist,137000,13000.0,Illinois,Chicago,2 - 4 years,2 - 4 years,PhD
35-44,"Marketing, Advertising & PR",Assistant Brand Manager,70000,10000.0,California,Ontario,5-7 years,2 - 4 years,Master's degree
25-34,Health care,Manager of Clinical Referrals,80000,,California,San Francisco,8 - 10 years,5-7 years,College degree
18-24,Computing or Tech,Software Consultant,80000,5000.0,Virginia,Arlington,2 - 4 years,2 - 4 years,College degree
35-44,Education (Higher Education),"Director, Prospect Research",92000,0.0,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,Master's degree
25-34,Education (Primary/Secondary),High school english teacher,53000,6000.0,Iowa,Eastern Iowa,5-7 years,5-7 years,Master's degree
25-34,Education (Higher Education),Office Coordinator,37000,0.0,New York,Rochester,8 - 10 years,5-7 years,College degree
35-44,Engineering or Manufacturing,Office Manager,35370,1000.0,Oregon,Portland,2 - 4 years,2 - 4 years,High School
45-54,Energy,Senior Drafting Lead,106000,10600.0,Texas,Houston,21 - 30 years,21 - 30 years,Some college
35-44,Education (Higher Education),Library Director,60000,0.0,Oregon,Portland,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Systems Librarian,65600,0.0,Connecticut,Hartford,8 - 10 years,5-7 years,Master's degree
35-44,Business or Consulting,Data analyst,60000,0.0,Colorado,Denver,11 - 20 years,5-7 years,Master's degree
25-34,Property or Construction,Assistant Project Manager,75000,3000.0,Illinois,Chicago,5-7 years,5-7 years,College degree
18-24,Sales,Support Coordinator,33280,100.0,Georgia,Atlanta,2 - 4 years,1 year or less,College degree
35-44,Medica education,Managing editor,90898,7000.0,New Jersey,from home,21 - 30 years,21 - 30 years,College degree
25-34,Engineering or Manufacturing,Bioprocess Engineer,81291,4300.0,New York,"Rochester, NY",2 - 4 years,2 - 4 years,Master's degree
25-34,Computing or Tech,Engineering Leadership,93000,25000.0,North Carolina,Chapel Hill,5-7 years,5-7 years,College degree
45-54,Computing or Tech,Sr. Scrum Master,175000,35000.0,California,San Francisco,21 - 30 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Programmer,80000,0.0,Wisconsin,Madison,8 - 10 years,8 - 10 years,College degree
45-54,Transport or Logistics,Pricing Specialist,58327,,Pennsylvania,Exton,11 - 20 years,2 - 4 years,College degree
25-34,Law,commercial paralegal,65000,5000.0,District of Columbia,washington dc,2 - 4 years,2 - 4 years,College degree
25-34,Business or Consulting,Operations Manager,77250,7725.0,Virginia,Arlington,5-7 years,5-7 years,College degree
35-44,Engineering or Manufacturing,Senior Engineer,166000,25000.0,Alabama,Mobile,11 - 20 years,11 - 20 years,PhD
25-34,Nonprofits,Development Coordinator,37500,1500.0,Arizona,Tucson,5-7 years,5-7 years,College degree
25-34,Nonprofits,Development Associate,63500,,New York,New York,8 - 10 years,8 - 10 years,Master's degree
25-34,Government and Public Administration,Social Media Lead,88000,,Maryland,DC Suburb,5-7 years,5-7 years,Master's degree
45-54,Nonprofits,Online Community Manager,82000,,Wisconsin,Waukesha,21 - 30 years,11 - 20 years,College degree
25-34,Computing or Tech,UX Designer,80000,,Colorado,Denver,5-7 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Product development engineer,105000,10000.0,Washington,Redmond,2 - 4 years,2 - 4 years,Master's degree
35-44,Computing or Tech,QA and Testing Analyst II,56271,3300.0,Utah,Lehi,8 - 10 years,5-7 years,College degree
45-54,Engineering or Manufacturing,shipping clerk,29000,,Virginia,Richmond,21 - 30 years,1 year or less,College degree
35-44,"Accounting, Banking & Finance",Fund Accountant II,50500,,Pennsylvania,Philadelphia,11 - 20 years,2 - 4 years,Master's degree
35-44,"Marketing, Advertising & PR",Communications and Marketing Director,75000,0.0,Washington,Seattle,11 - 20 years,8 - 10 years,College degree
25-34,Engineering or Manufacturing,Mechanical Engineer 2,107000,1500.0,California,Camarillo,2 - 4 years,2 - 4 years,College degree
25-34,Computing or Tech,Technical Support,44900,2000.0,Florida,West Palm Beach,5-7 years,5-7 years,College degree
35-44,Recruitment or HR,HRIS,52000,,Iowa,Des Moines,8 - 10 years,5-7 years,Master's degree
35-44,Insurance,Underwriting Officer,160000,40000.0,New York,New York City,11 - 20 years,11 - 20 years,Master's degree
35-44,Property or Construction,Senior Accounting Director,125000,15000.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,VP Talent,170000,,New Jersey,NYC,11 - 20 years,11 - 20 years,
55-64,Government and Public Administration,Circulation Supervisor,40000,,Delaware,Wilmington,5-7 years,5-7 years,College degree
18-24,Education (Primary/Secondary),Director of Curriculum,102000,0.0,,Remote,2 - 4 years,2 - 4 years,Master's degree
35-44,Engineering or Manufacturing,Production Coordinator,80000,25000.0,Michigan,Three Rivers,11 - 20 years,2 - 4 years,College degree
25-34,Health care,Clinical Pharmacist,135000,,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Law,General Counsel,165000,,Maryland,Baltimore,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Computing or Tech,Senior Consultant,105000,2000.0,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree
35-44,"Accounting, Banking & Finance",Account Manager,120000,25000.0,Virginia,Charlottesville,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Software Engineer III,122000,2000.0,Pennsylvania,Pittsburgh,5-7 years,5-7 years,College degree
35-44,"Accounting, Banking & Finance",Revenue Agent,100500,0.0,California,Sacramento,8 - 10 years,5-7 years,Master's degree
35-44,Education (Primary/Secondary),Elementary Teacher,62140,750.0,Texas,Houston,11 - 20 years,8 - 10 years,College degree
25-34,Utilities & Telecommunications,Business Analyst,72000,8000.0,Nevada,Reno,5-7 years,1 year or less,Master's degree
18-24,Government and Public Administration,Associate Management Analyst,71177,,California,Los Gatos,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Department Manager,90000,,New York,New York,41 years or more,8 - 10 years,Master's degree
25-34,Media & Digital,Associate Editor,44000,,,,2 - 4 years,2 - 4 years,Master's degree
25-34,Nonprofits,VP of Communication,95000,0.0,New York,New York,8 - 10 years,5-7 years,Master's degree
25-34,Computing or Tech,Partner Marketing Manager,167000,15000.0,Illinois,Chicago,11 - 20 years,8 - 10 years,College degree
55-64,Education (Higher Education),Associate Director,121000,,New York,New York,21 - 30 years,21 - 30 years,Master's degree
35-44,Education (Higher Education),Senior Dev,74500,,Arizona,Phoenix,11 - 20 years,8 - 10 years,High School
25-34,Education (Higher Education),Regional Admissions Counselor,50000,,Arizona,Phoenix,5-7 years,5-7 years,Master's degree
25-34,Media & Digital,Broadcast Producer,86500,,,Austin,5-7 years,2 - 4 years,College degree
25-34,Health care,Speech-language pathologist,68000,0.0,Illinois,Schaumburg,2 - 4 years,2 - 4 years,Master's degree
35-44,Recruitment or HR,Benefits Manager,100000,10000.0,California,"Foothill Ranch, CA",11 - 20 years,8 - 10 years,College degree
25-34,Computing or Tech,Customer Operations Manager,93000,,New York,New York,5-7 years,2 - 4 years,College degree
35-44,Entertainment,Asst. Manager,80000,,Illinois,Chicago,21 - 30 years,21 - 30 years,
35-44,"Accounting, Banking & Finance",Content strategist,89000,10000.0,North Carolina,Raleigh,21 - 30 years,11 - 20 years,College degree
35-44,Education (Higher Education),Director,114000,,Michigan,Detroit,11 - 20 years,11 - 20 years,Master's degree
25-34,Business or Consulting,Lease Administrator,60000,,Colorado,Denver,5-7 years,2 - 4 years,Master's degree
25-34,Business or Consulting,Senior Consultant,150000,10000.0,South Carolina,Charleston,8 - 10 years,8 - 10 years,Master's degree
25-34,Computing or Tech,content marketing manager,82500,,Oregon,Portland,5-7 years,5-7 years,College degree
35-44,Education (Higher Education),Associate Professor,72000,2000.0,Maryland,Columbia,8 - 10 years,5-7 years,PhD
25-34,Health care,Registered Nurse,64000,1000.0,Maryland,Baltimore,11 - 20 years,5-7 years,College degree
25-34,Nonprofits,Development Associate,60000,0.0,Georgia,Atlanta,8 - 10 years,5-7 years,College degree
35-44,Hospitality & Events,Purchasing,82500,5000.0,Wisconsin,VERONA,21 - 30 years,11 - 20 years,College degree
25-34,Health care,Family Physician,200000,40000.0,Pennsylvania,Pennsylvania,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,Learning & Development,Content Development Manager,68000,0.0,Illinois,Evanston,8 - 10 years,8 - 10 years,PhD
18-24,Business or Consulting,Research Analyst,54000,1500.0,District of Columbia,"Washington, DC",1 year or less,1 year or less,College degree
55-64,Insurance,Sr. Director of Compliance,159000,45000.0,Pennsylvania,Philadelphia,21 - 30 years,8 - 10 years,College degree
25-34,Health care,Digital Product Manager,107000,0.0,Oregon,Portland,8 - 10 years,2 - 4 years,Master's degree
35-44,Computing or Tech,Senior Software Engineer,208000,180000.0,California,San Francisco,11 - 20 years,11 - 20 years,College degree
35-44,Sales,Inside Account Manager 3,94000,15000.0,Tennessee,Nashville,11 - 20 years,8 - 10 years,College degree
35-44,Utilities & Telecommunications,Industrial Mechanic,58000,,Tennessee,Nashville,21 - 30 years,8 - 10 years,High School
25-34,"Accounting, Banking & Finance",Tax Senior,72000,0.0,Kentucky,Louisville,5-7 years,5-7 years,College degree
25-34,Research at a National Laboratory,Research Scientist,90000,0.0,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,PhD
18-24,Agriculture or Forestry,Research Assistant,39600,,Washington,Shelton,2 - 4 years,2 - 4 years,College degree
65 or over,Agriculture or Forestry,Operations Director,75000,,California,Saint Helena,41 years or more,21 - 30 years,College degree
25-34,"Marketing, Advertising & PR",Content Marketing Specialist,58762,,Illinois,Chicago,5-7 years,5-7 years,College degree
18-24,"Accounting, Banking & Finance",Business Support Consultant,54000,0.0,Minnesota,Minneapolis,2 - 4 years,41 years or more,College degree
35-44,Nonprofits,HR Manager,84000,,District of Columbia,Washington DC,11 - 20 years,8 - 10 years,Master's degree
25-34,Health care,Medical biller,35000,0.0,Connecticut,Stamford,8 - 10 years,8 - 10 years,College degree
25-34,Education (Higher Education),"Director, Federal Affairs",155000,,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree
35-44,Transport or Logistics,Executive Administrator,80000,5000.0,New York,New York,21 - 30 years,21 - 30 years,High School
35-44,Government and Public Administration,Senior Human Resources Generalist,80000,,Minnesota,St. Paul,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,Sr Project Manager,115000,,Washington,Seattle,8 - 10 years,5-7 years,Master's degree
25-34,Retail,PR Manager,60206,1000.0,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree
35-44,Medical Device,"Manager, Customer Support",109000,15000.0,Massachusetts,Marlborough,11 - 20 years,11 - 20 years,College degree
25-34,Law,Attorney,110000,0.0,Texas,San Antonio,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
25-34,"Marketing, Advertising & PR",Senior Marketing Manager,95000,,New York,New York,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Engineering manager,179000,20000.0,Arizona,Gilbert,11 - 20 years,11 - 20 years,College degree
35-44,Property or Construction,Office Admin,65000,,New Hampshire,Seabrook,11 - 20 years,8 - 10 years,Some college
18-24,"Accounting, Banking & Finance",Staff accountant,53000,2000.0,Georgia,Atlanta,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Associate Editor,58500,5500.0,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree
25-34,Business or Consulting,Senior Content Strategist,91520,,Maryland,Baltimore,11 - 20 years,11 - 20 years,College degree
25-34,"Accounting, Banking & Finance","AVP, Marketing Associate",88000,20000.0,New York,New York,11 - 20 years,5-7 years,College degree
45-54,Health care,MRI Technologist,136000,400.0,California,Santa Cruz,11 - 20 years,11 - 20 years,College degree
25-34,Computing or Tech,Software Engineering Instructor,70000,8000.0,Pennsylvania,Pittsburgh,5-7 years,1 year or less,PhD
35-44,Engineering or Manufacturing,Research Engineer,94000,,Massachusetts,Framingham,21 - 30 years,21 - 30 years,College degree
25-34,"Accounting, Banking & Finance",Sales Strategy Analyst,65000,2500.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree
35-44,Property or Construction,full charge bookkeeper,36000,1250.0,Oregon,Portland,11 - 20 years,2 - 4 years,Some college
45-54,Law,Paralegal,94000,6500.0,Georgia,Atlanta,31 - 40 years,21 - 30 years,College degree
55-64,"Research Scientist, Pharma",Principal Research Scientist,175000,20000.0,Massachusetts,Boston,31 - 40 years,31 - 40 years,Master's degree
25-34,Computing or Tech,Linux Systems Administrator,79200,,Washington,Issaquah,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Data Analyst,75000,4000.0,California,Emeryville,8 - 10 years,5-7 years,College degree
25-34,Social Work,Research Associate,45800,,Florida,Fort Walton Beach,2 - 4 years,2 - 4 years,Master's degree
35-44,Education (Higher Education),Business Systems Analyst,59000,,California,Irvine,11 - 20 years,8 - 10 years,College degree
25-34,Education (Primary/Secondary),School Clerk-Secretary,49000,0.0,California,Los Altos Hills,2 - 4 years,1 year or less,Some college
45-54,Nonprofits,executive director,47940,,Indiana,indianapolis,2 - 4 years,2 - 4 years,College degree
25-34,"Marketing, Advertising & PR",Digital Marketing Strategist,65000,,Oregon,Portland,5-7 years,5-7 years,College degree
25-34,environmental health and safety,EHS technician,52000,0.0,New York,Latham,2 - 4 years,1 year or less,Master's degree
35-44,"Marketing, Advertising & PR","Supervisor, Communications",105000,8100.0,California,Sacramento,11 - 20 years,11 - 20 years,College degree
25-34,"Accounting, Banking & Finance",Administrative Assistant,70000,8000.0,California,San Francisco,5-7 years,5-7 years,College degree
35-44,Business or Consulting,HR Manager,115000,20000.0,Georgia,Atlanta,11 - 20 years,11 - 20 years,College degree
35-44,Nonprofits,Sr accountant/fiscal director,53000,0.0,New York,12043,11 - 20 years,11 - 20 years,College degree
65 or over,Education (Higher Education),Professor,100000,20000.0,California,Sacramento,31 - 40 years,31 - 40 years,PhD
55-64,Engineering or Manufacturing,Environmental Health and Safety Manager,110000,5500.0,New Jersey,Somerset,31 - 40 years,11 - 20 years,Master's degree
25-34,Health care,Pharmacist,55000,,Texas,Tyler,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
